image_path,true_label,true_label_name,bucket,edge_case,q_profile,anomaly_score,q_score,q_score_norm,img_pred,img_correct,image_latency_ms,best_combo_score,best_combo_pred,best_combo_correct,combo_score_wi0.00,combo_score_wi0.05,combo_score_wi0.10,combo_score_wi0.15,combo_score_wi0.20,combo_score_wi0.25,combo_score_wi0.30,combo_score_wi0.35,combo_score_wi0.40,combo_score_wi0.45,combo_score_wi0.50,combo_score_wi0.55,combo_score_wi0.60,combo_score_wi0.65,combo_score_wi0.70,combo_score_wi0.75,combo_score_wi0.80,combo_score_wi0.85,combo_score_wi0.90,combo_score_wi0.95,combo_score_wi1.00
dysgraphia_samples\dysgraphia_img_1.jpg,1,Atypical,clear_atypical,,high,71.0452,42,80.0,1,1,838.475,72.83616,1,1,80.0,79.55226,79.10452,78.65678,78.20904,77.7613,77.31356,76.86582,76.41808,75.97034,75.5226,75.07486,74.62711999999999,74.17938,73.73164,73.28389999999999,72.83616,72.38842,71.94067999999999,71.49293999999999,71.0452
dysgraphia_samples\dysgraphia_img_10.png,1,Atypical,clear_atypical,E2_under_reporter,very_low,61.1569,13,7.5,1,1,55.838,50.425520000000006,1,1,7.5,10.182845,12.86569,15.548535,18.23138,20.914225000000002,23.59707,26.279915,28.962760000000003,31.645605,34.328450000000004,37.011295000000004,39.69414,42.376985000000005,45.05983,47.742675,50.425520000000006,53.108365,55.79121,58.474055,61.1569
dysgraphia_samples\dysgraphia_img_11.jpg,1,Atypical,clear_atypical,,high,66.8018,38,70.0,1,1,43.963,67.44144,1,1,70.0,69.84009,69.68018000000001,69.52027,69.36036,69.20045,69.04054,68.88063,68.72072,68.56081,68.40090000000001,68.24099000000001,68.08108,67.92117,67.76126,67.60135,67.44144,67.28153,67.12162000000001,66.96171,66.8018
dysgraphia_samples\dysgraphia_img_12.png,1,Atypical,clear_atypical,,high,59.2194,42,80.0,1,1,64.503,63.37552,1,1,80.0,78.96097,77.92194,76.88291,75.84388,74.80485,73.76581999999999,72.72679,71.68776,70.64873,69.6097,68.57067,67.53164,66.49261,65.45357999999999,64.41454999999999,63.37552,62.33649,61.29746,60.25843,59.2194
dysgraphia_samples\dysgraphia_img_13.jpg,1,Atypical,clear_atypical,,high,64.3503,38,70.0,1,1,41.364,65.48024000000001,1,1,70.0,69.717515,69.43503,69.152545,68.87006,68.587575,68.30509,68.022605,67.74012,67.45763500000001,67.17515,66.89266500000001,66.61018,66.327695,66.04521,65.762725,65.48024000000001,65.197755,64.91527,64.632785,64.3503
dysgraphia_samples\dysgraphia_img_14.jpg,1,Atypical,clear_atypical,,high,61.642,41,77.5,1,1,281.271,64.81360000000001,1,1,77.5,76.7071,75.9142,75.1213,74.3284,73.5355,72.7426,71.9497,71.1568,70.3639,69.571,68.7781,67.98519999999999,67.1923,66.3994,65.60650000000001,64.81360000000001,64.0207,63.2278,62.4349,61.642
dysgraphia_samples\dysgraphia_img_15.jpg,1,Atypical,clear_atypical,,high,65.7928,41,77.5,1,1,37.643,68.13424,1,1,77.5,76.91464,76.32928,75.74392,75.15856,74.5732,73.98784,73.40248,72.81712,72.23176000000001,71.6464,71.06104,70.47568,69.89032,69.30496,68.7196,68.13424,67.54888,66.96352,66.37816,65.7928
dysgraphia_samples\dysgraphia_img_16.jpg,1,Atypical,clear_atypical,E2_under_reporter,very_low,70.1176,15,12.5,1,1,32.571,58.59408,1,1,12.5,15.38088,18.26176,21.14264,24.023519999999998,26.9044,29.785279999999997,32.66616,35.547039999999996,38.42792,41.3088,44.18968,47.07055999999999,49.95144,52.832319999999996,55.7132,58.59408,61.474959999999996,64.35584,67.23671999999999,70.1176
dysgraphia_samples\dysgraphia_img_17.jpg,1,Atypical,borderline_atypical,,high,52.9011,44,85.0,1,1,55.084,59.32088,1,1,85.0,83.395055,81.79011,80.185165,78.58022,76.975275,75.37033,73.765385,72.16044,70.55549500000001,68.95054999999999,67.345605,65.74065999999999,64.13571499999999,62.53077,60.925825,59.32088,57.715935,56.11099,54.506045,52.9011
dysgraphia_samples\dysgraphia_img_18.jpg,1,Atypical,clear_atypical,E2_under_reporter,very_low,72.7551,13,7.5,1,1,38.824,59.704080000000005,1,1,7.5,10.762755,14.02551,17.288265,20.55102,23.813775,27.076529999999998,30.339284999999997,33.60204,36.864795,40.12755,43.390305000000005,46.653059999999996,49.915815,53.17856999999999,56.441325,59.704080000000005,62.966834999999996,66.22959,69.492345,72.7551
dysgraphia_samples\dysgraphia_img_19.jpg,1,Atypical,clear_atypical,,high,62.8131,40,75.0,1,1,44.195,65.25048000000001,1,1,75.0,74.390655,73.78131,73.171965,72.56262,71.953275,71.34393,70.734585,70.12524,69.515895,68.90655,68.297205,67.68786,67.07851500000001,66.46916999999999,65.859825,65.25048000000001,64.64113499999999,64.03179,63.422444999999996,62.8131
dysgraphia_samples\dysgraphia_img_2.jpg,1,Atypical,clear_atypical,,high,73.5608,44,85.0,1,1,41.219,75.84864,1,1,85.0,84.42804,83.85608,83.28412,82.71216,82.1402,81.56823999999999,80.99628,80.42432,79.85236,79.2804,78.70844,78.13648,77.56452,76.99256,76.42060000000001,75.84864,75.27668,74.70472000000001,74.13275999999999,73.5608
dysgraphia_samples\dysgraphia_img_20.jpg,1,Atypical,clear_atypical,E2_under_reporter,very_low,65.3271,14,10.0,1,1,51.107,54.261680000000005,1,1,10.0,12.766355,15.532710000000002,18.299065,21.065420000000003,23.831775,26.59813,29.364485,32.130840000000006,34.897194999999996,37.66355,40.429905000000005,43.19626,45.962615,48.72897,51.495325,54.261680000000005,57.028035,59.79439,62.560745,65.3271
dysgraphia_samples\dysgraphia_img_21.PNG,1,Atypical,borderline_atypical,,high,56.1069,42,80.0,1,1,53.401,60.88552000000001,1,1,80.0,78.805345,77.61069,76.416035,75.22138,74.026725,72.83207,71.637415,70.44276,69.24810500000001,68.05345,66.858795,65.66414,64.469485,63.27483,62.080175000000004,60.88552000000001,59.690865,58.496210000000005,57.301555,56.1069
