filename,group,label,anomaly_score,inference_time_ms
a01-011x.png,normal,0,62.936878,91.5702
a02-017.png,normal,0,39.227492,18.2933
a02-020.png,normal,0,40.06716,14.0386
a02-024.png,normal,0,37.821329,14.7735
a02-027.png,normal,0,38.106692,12.2512
a02-032.png,normal,0,36.681199,12.9107
a02-046.png,normal,0,58.046731,16.1246
a02-057.png,normal,0,55.820447,14.1398
a02-067.png,normal,0,42.24329,13.7762
a03-017.png,normal,0,57.127774,15.6478
a03-023.png,normal,0,59.135181,14.8009
a06-039.png,normal,0,60.429645,14.9531
a06-100.png,normal,0,50.066954,15.6171
n02-146.png,normal,0,40.133584,14.8335
a06-110.png,normal,0,63.776129,15.3841
b01-044.png,normal,0,37.611187,12.3214
b01-049.png,normal,0,47.910649,13.0764
b01-053.png,normal,0,29.318166,14.8959
b02-013.png,normal,0,57.20222,14.6068
b02-035.png,normal,0,47.453988,12.9013
b02-045.png,normal,0,44.111061,16.4514
b03-025.png,normal,0,62.438136,16.0637
b03-109.png,normal,0,53.34264,14.8963
b03-114.png,normal,0,62.210104,14.8487
b05-032.png,normal,0,55.9349,14.7477
b06-027.png,normal,0,84.201553,16.1348
c06-014.png,normal,0,82.06116,15.0763
c06-103.png,normal,0,81.618753,14.8104
c06-138.png,normal,0,81.000417,17.0995
c02-049.png,normal,0,71.183383,13.3986
c04-039.png,normal,0,40.828753,16.2497
c04-044.png,normal,0,41.089529,14.4462
c04-080.png,normal,0,50.339454,13.5271
c04-128.png,normal,0,41.576302,13.8121
c04-110.png,normal,0,40.589428,14.8722
c04-116.png,normal,0,41.225392,15.3259
d04-125.png,normal,0,43.679667,14.8245
d04-131.png,normal,0,38.283628,14.8405
d06-025.png,normal,0,70.603931,13.2074
d06-067.png,normal,0,73.016399,13.8236
d06-104.png,normal,0,69.479474,12.9788
e06-026.png,normal,0,71.633148,14.9859
e06-049.png,normal,0,75.01017,14.7107
e02-025.png,normal,0,64.512426,15.1188
e02-086.png,normal,0,42.459285,14.4323
e02-094.png,normal,0,62.557799,15.6047
e04-004.png,normal,0,39.766121,14.6675
e04-008.png,normal,0,39.710093,14.3001
e04-043.png,normal,0,54.951271,14.6726
e04-052.png,normal,0,44.900715,12.5111
e04-086.png,normal,0,31.75388,14.5742
k04-022.png,normal,0,45.533347,15.8903
f01-070.png,normal,0,45.814741,15.5076
f04-007.png,normal,0,38.644516,14.541
g04-007.png,normal,0,42.430484,14.5842
g04-011.png,normal,0,47.65566,14.7803
g04-014.png,normal,0,41.362876,15.0894
g04-095.png,normal,0,45.556509,14.5408
f07-000.png,normal,0,51.040095,17.4726
f07-039a.png,normal,0,52.745214,16.9345
f07-042a.png,normal,0,54.189336,15.1977
f07-046a.png,normal,0,52.21673,14.6442
g07-079a.png,normal,0,57.163203,13.6032
f07-019a.png,normal,0,57.06287,14.8545
f07-021a.png,normal,0,58.138013,12.7002
f07-024a.png,normal,0,50.314102,14.8842
f07-028a.png,normal,0,54.252791,12.9116
f07-032a.png,normal,0,51.549521,12.5893
g01-067.png,normal,0,71.424979,14.9704
g01-070.png,normal,0,65.08193,15.1602
g01-074.png,normal,0,66.087198,14.0692
g02-062.png,normal,0,59.368157,14.0693
g07-003b.png,normal,0,48.857993,16.4472
g07-007b.png,normal,0,45.855045,14.39
g07-010b.png,normal,0,44.969738,14.5371
g07-014b.png,normal,0,40.10216,13.0096
g07-065.png,normal,0,48.898822,14.6745
g07-069a.png,normal,0,48.865479,14.4814
g07-071a.png,normal,0,47.132057,14.6314
g07-074a.png,normal,0,49.664181,14.8968
g07-077a.png,normal,0,46.77341,14.6181
h01-024.png,normal,0,55.776528,13.0495
h02-049.png,normal,0,50.412285,12.643
h04-049.png,normal,0,48.382145,14.4269
h04-071.png,normal,0,52.27015,14.9401
h04-074.png,normal,0,60.38748,14.7846
h07-040.png,normal,0,55.176991,17.1286
h07-044a.png,normal,0,61.40438,15.5383
h07-051b.png,normal,0,59.848714,14.7515
j01-059.png,normal,0,54.373053,14.2278
j01-066.png,normal,0,57.706854,14.0716
k04-010.png,normal,0,67.026174,11.961
k04-050.png,normal,0,39.229107,13.5092
k04-054.png,normal,0,53.644785,14.2544
l01-157.png,normal,0,46.700805,14.6429
l01-199.png,normal,0,67.615551,14.645
l04-020.png,normal,0,33.803207,14.5104
l04-026.png,normal,0,42.442119,16.1903
m02-083.png,normal,0,56.186694,13.045
n02-028.png,normal,0,60.653397,14.7459
n02-049.png,normal,0,48.814726,17.8679
n02-157.png,normal,0,61.748129,15.2735
